TripId,UserProgramName,UserId,UserRole,UserCity,UserState,UserZip,UserCountry,MembershipType,Bike,BikeType,CheckoutKioskName,ReturnKioskName,DurationMins,AdjustedDurationMins,UsageFee,AdjustmentFlag,Distance,EstimatedCarbonOffset,EstimatedCaloriesBurned,CheckoutDateLocal,ReturnDateLocal,CheckoutTimeLocal,ReturnTimeLocal,TripOver30Mins,LocalProgramFlag,TripRouteCategory,TripProgramName
3676363,Houston B-cycle,623178,Subscriber,,,29334,UNITED STATES,24 Hour Kiosk,99,Standard,La Branch & Lamar,La Branch & Lamar,29,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,08:40:17,09:09:42,N,Y,Round Trip,Houston B-cycle
3676370,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,143,Standard,Lamar & Crawford,Lamar & Crawford,2,0,0,N,.3,.3,12,2014-12-01,2014-12-01,08:42:13,08:44:59,N,Y,Round Trip,Houston B-cycle
3676420,Houston B-cycle,417593,Member,Houston,TX,77002,UNITED STATES,Annual Member,893,Standard,UHD/Main & Franklin,Dallas & Smith,8,0,0,N,1.2,1.1,48,2014-12-01,2014-12-01,08:57:13,09:05:42,N,Y,One Way,Houston B-cycle
3676427,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,269,Standard,Spotts Park,Tellepsen YMCA,27,0,0,N,4.1,3.8,162,2014-12-01,2014-12-01,09:00:03,09:27:32,N,Y,One Way,Houston B-cycle
3676429,Houston B-cycle,235271,Member,Houston,TX,77002,UNITED STATES,Annual Member,213,Standard,West Gray & Baldwin,West Gray & Baldwin,0,0,0,N,.0,.0,0,2014-12-01,2014-12-01,09:00:45,09:00:48,N,Y,Round Trip,Houston B-cycle
3676432,Houston B-cycle,235271,Member,Houston,TX,77002,UNITED STATES,Annual Member,109,Standard,West Gray & Baldwin,West Gray & Baldwin,25,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:01:11,09:26:57,N,Y,Round Trip,Houston B-cycle
3676433,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,165,Standard,Spotts Park,Dallas & Smith,3100,0,0,N,2.7,2.6,108,2014-12-01,2014-12-03,09:01:34,12:41:01,Y,Y,One Way,Houston B-cycle
3676440,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,347,Standard,Spotts Park,Tellepsen YMCA,23,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:03:09,09:26:25,N,Y,One Way,Houston B-cycle
3676442,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,244,Standard,Spotts Park,Spotts Park,0,0,0,N,.0,.0,0,2014-12-01,2014-12-01,09:04:19,09:04:35,N,Y,Round Trip,Houston B-cycle
3676445,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,922,Standard,Spotts Park,Spotts Park,1,0,0,N,.2,.1,6,2014-12-01,2014-12-01,09:04:49,09:05:00,N,Y,Round Trip,Houston B-cycle
3676568,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,940,Standard,Herman Park Lake Plaza,Project Row House / Holman & Live Oak,21,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:42:20,10:03:46,N,Y,One Way,Houston B-cycle
3676569,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,270,Standard,Herman Park Lake Plaza,Project Row House / Holman & Live Oak,19,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:43:34,10:02:43,N,Y,One Way,Houston B-cycle
3676580,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,157,Standard,Herman Park Lake Plaza,Project Row House / Holman & Live Oak,18,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:44:59,10:02:00,N,Y,One Way,Houston B-cycle
3676582,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,221,Standard,Herman Park Lake Plaza,Lamar & Crawford,132,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,09:46:17,11:58:37,Y,Y,One Way,Houston B-cycle
3676839,Houston B-cycle,605763,Subscriber,,,77004,UNITED STATES,24 Hour Kiosk,892,Standard,1919 Runnels,UHD/Main & Franklin,9,0,0,N,1.4,1.3,54,2014-12-01,2014-12-01,11:01:13,11:10:59,N,Y,One Way,Houston B-cycle
3676844,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,119,Standard,Stude Park,McKinney & Caroline,92,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:03:52,12:35:02,Y,Y,One Way,Houston B-cycle
3676849,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,512,Standard,Stude Park,Lamar & Crawford,52,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:05:11,11:57:14,Y,Y,One Way,Houston B-cycle
3676917,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,275,Standard,Spotts Park,Lamar & Crawford,30,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:24:48,11:54:52,N,Y,One Way,Houston B-cycle
3676925,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,267,Standard,Spotts Park,Lamar & Crawford,29,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:27:53,11:56:01,N,Y,One Way,Houston B-cycle
3676933,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,963,Standard,Spotts Park,Lamar & Crawford,24,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:29:45,11:53:49,N,Y,One Way,Houston B-cycle
3676961,Houston B-cycle,623758,Subscriber,,,77006,UNITED STATES,24 Hour Kiosk,358,Standard,Milam & Webster,MFAH/ Fannin & Binz,72,0,2,N,2.7,2.6,108,2014-12-01,2014-12-01,11:31:55,12:43:12,Y,Y,One Way,Houston B-cycle
3676992,Houston B-cycle,282793,Member,The Woodlands,TX,77382,UNITED STATES,Annual Member,210,Standard,Dallas & Smith,Dallas & Smith,57,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,11:43:40,12:40:26,Y,Y,Round Trip,Houston B-cycle
3677040,Houston B-cycle,207458,Member,Houston,TX,77004,UNITED STATES,Annual Member,946,Standard,Elgin & Smith,Elgin & Smith,52,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:04:28,12:56:54,Y,Y,Round Trip,Houston B-cycle
3677062,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,936,Standard,Westheimer & Waugh,McKinney & Caroline,18,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:14:26,12:32:31,N,Y,One Way,Houston B-cycle
3677063,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,380,Standard,Westheimer & Waugh,McKinney & Caroline,18,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:15:03,12:33:38,N,Y,One Way,Houston B-cycle
3677064,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,224,Standard,Westheimer & Waugh,McKinney & Caroline,17,0,0,N,2.6,2.4,102,2014-12-01,2014-12-01,12:15:41,12:32:00,N,Y,One Way,Houston B-cycle
3677067,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,972,Standard,Westheimer & Waugh,Main & Dallas,251,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:16:34,16:27:58,Y,Y,One Way,Houston B-cycle
3677069,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,869,Standard,Westheimer & Waugh,McKinney & Caroline,17,0,0,N,2.6,2.4,102,2014-12-01,2014-12-01,12:17:49,12:34:25,N,Y,One Way,Houston B-cycle
3677112,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,936,Standard,McKinney & Caroline,McKinney & Caroline,0,0,0,N,.0,.0,0,2014-12-01,2014-12-01,12:32:44,12:32:47,N,Y,Round Trip,Houston B-cycle
3677116,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,216,Standard,McKinney & Caroline,McKinney & Caroline,5661,0,0,N,2.7,2.6,108,2014-12-01,2014-12-05,12:32:57,10:53:16,Y,Y,Round Trip,Houston B-cycle
3677167,Houston B-cycle,623758,Subscriber,,,77006,UNITED STATES,24 Hour Kiosk,358,Standard,MFAH/ Fannin & Binz,Milam & Webster,91,0,2,N,2.7,2.6,108,2014-12-01,2014-12-01,12:47:16,14:18:03,Y,Y,One Way,Houston B-cycle
3677178,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,871,Standard,Sabine Bridge ,1919 Runnels,29,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:53:28,13:22:42,N,Y,One Way,Houston B-cycle
3677188,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,502,Standard,Sabine Bridge ,1919 Runnels,27,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:54:32,13:21:48,N,Y,One Way,Houston B-cycle
3677192,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,994,Standard,Sabine Bridge ,1919 Runnels,25,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:55:25,13:20:54,N,Y,One Way,Houston B-cycle
3677196,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,264,Standard,Sabine Bridge ,1919 Runnels,27,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,12:56:24,13:23:46,N,Y,One Way,Houston B-cycle
3677292,Houston B-cycle,605763,Subscriber,,,77004,UNITED STATES,24 Hour Kiosk,111,Standard,Main & Dallas,1919 Runnels,32,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,13:13:26,13:45:58,Y,Y,One Way,Houston B-cycle
3677326,Houston B-cycle,544007,Subscriber,,,77002,UNITED STATES,24 Hour Kiosk,502,Standard,1919 Runnels,Market Square,7,0,0,N,1.1,1.0,42,2014-12-01,2014-12-01,13:23:27,13:30:55,N,Y,One Way,Houston B-cycle
3677387,Houston B-cycle,623714,Member,Houston,TX,77002,UNITED STATES,Annual Member,897,Standard,Elgin & Smith,Market Square,17,0,0,N,2.6,2.4,102,2014-12-01,2014-12-01,13:34:53,13:51:10,N,Y,One Way,Houston B-cycle
3677451,Houston B-cycle,623797,Subscriber,,,77045,UNITED STATES,24 Hour Kiosk,224,Standard,McKinney & Caroline,McKinney & Caroline,50,0,0,N,2.4,2.3,95,2014-12-01,2014-12-01,13:59:49,14:49:37,Y,Y,Round Trip,Houston B-cycle
3677453,Houston B-cycle,623797,Subscriber,,,77045,UNITED STATES,24 Hour Kiosk,195,Standard,McKinney & Caroline,Lamar & Crawford,1146,55,0,Y,18.0,17.1,720,2014-12-01,2014-12-02,14:00:43,09:06:18,Y,Y,One Way,Houston B-cycle
3677462,Houston B-cycle,544007,Subscriber,,,77002,UNITED STATES,24 Hour Kiosk,897,Standard,Market Square,1919 Runnels,10,0,0,N,1.5,1.4,60,2014-12-01,2014-12-01,14:04:20,14:14:10,N,Y,One Way,Houston B-cycle
3677476,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,124,Standard,MFAH/ Fannin & Binz,Main & Dallas,135,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,14:09:44,16:24:08,Y,Y,One Way,Houston B-cycle
3677483,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,159,Standard,MFAH/ Fannin & Binz,Main & Dallas,136,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,14:10:59,16:26:01,Y,Y,One Way,Houston B-cycle
3677486,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,133,Standard,MFAH/ Fannin & Binz,Main & Dallas,131,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,14:11:53,16:22:22,Y,Y,One Way,Houston B-cycle
3677493,Houston B-cycle,623797,Subscriber,,,77045,UNITED STATES,24 Hour Kiosk,512,Standard,Lamar & Crawford,McKinney & Caroline,36,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,14:13:56,14:49:34,Y,Y,One Way,Houston B-cycle
3677539,Houston B-cycle,623758,Subscriber,,,77006,UNITED STATES,24 Hour Kiosk,178,Standard,Milam & Webster,Lamar & Milam,9,0,0,N,1.4,1.3,54,2014-12-01,2014-12-01,14:28:47,14:37:13,N,Y,One Way,Houston B-cycle
3677581,Houston B-cycle,605763,Subscriber,,,77004,UNITED STATES,24 Hour Kiosk,111,Standard,1919 Runnels,1919 Runnels,48,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,14:47:25,15:35:22,Y,Y,Round Trip,Houston B-cycle
3677582,Houston B-cycle,205152,Member,Cypress,TX,77429,UNITED STATES,Annual Member,869,Standard,McKinney & Caroline,Lamar & Milam,4,0,0,N,.6,.6,24,2014-12-01,2014-12-01,14:48:04,14:52:16,N,Y,One Way,Houston B-cycle
3677794,Houston B-cycle,623758,Subscriber,,,77006,UNITED STATES,24 Hour Kiosk,153,Standard,Main & Dallas,Milam & Webster,23,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,15:59:46,16:22:17,N,Y,One Way,Houston B-cycle
3677797,Houston B-cycle,235271,Member,Houston,TX,77002,UNITED STATES,Annual Member,213,Standard,West Gray & Baldwin,West Gray & Baldwin,0,0,0,N,.0,.0,0,2014-12-01,2014-12-01,16:00:34,16:00:34,N,Y,Round Trip,Houston B-cycle
3677799,Houston B-cycle,235271,Member,Houston,TX,77002,UNITED STATES,Annual Member,109,Standard,West Gray & Baldwin,West Gray & Baldwin,110,0,4,N,2.7,2.6,108,2014-12-01,2014-12-01,16:01:00,17:51:17,Y,Y,Round Trip,Houston B-cycle
3677911,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,854,Standard,Main & Dallas,UHD/Main & Franklin,3984,0,0,N,2.7,2.6,108,2014-12-01,2014-12-04,16:35:10,10:59:38,Y,Y,One Way,Houston B-cycle
3677934,Houston B-cycle,424852,Member,Houston,TX,77003,UNITED STATES,Annual Member,925,Standard,McKinney & Caroline,Rusk & St. Emanuel ,4,0,0,N,.6,.6,24,2014-12-01,2014-12-01,16:42:16,16:46:44,N,Y,One Way,Houston B-cycle
3677957,Houston B-cycle,613193,Maintenance,,,,UNITED STATES,,526,Standard,Freed Library ,Lamar & Milam,932,0,0,N,2.7,2.6,108,2014-12-01,2014-12-02,16:48:34,08:20:04,Y,Y,One Way,Houston B-cycle
3678010,Houston B-cycle,208349,Member,Magnolia,TX,77354,UNITED STATES,Annual Member,118,Standard,La Branch & Lamar,Tellepsen YMCA,5,0,0,N,.8,.7,30,2014-12-01,2014-12-01,17:03:11,17:08:10,N,Y,One Way,Houston B-cycle
3678019,Houston B-cycle,208675,Member,Katy,TX,77494,UNITED STATES,Annual Member,904,Standard,La Branch & Lamar,METRO Transit Center ,5,0,0,N,.8,.7,30,2014-12-01,2014-12-01,17:04:47,17:09:34,N,Y,One Way,Houston B-cycle
3678082,Houston B-cycle,326770,Member,Houston,TX,77003,UNITED STATES,Annual Member,231,Standard,Lamar & Milam,1919 Runnels,20,0,0,N,1.6,1.5,62,2014-12-01,2014-12-01,17:27:15,17:47:04,N,Y,One Way,Houston B-cycle
3678102,Houston B-cycle,352639,Member,Houston,TX,77019,UNITED STATES,Annual Member,100,Standard,MFAH/ Fannin & Binz,Menil Collection / Alabama & Mandell,12,0,0,N,1.1,1.1,44,2014-12-01,2014-12-01,17:32:45,17:44:21,N,Y,One Way,Houston B-cycle
3678190,Houston B-cycle,370174,Member,Houston,TX,77257,UNITED STATES,Annual Member,22 G,Standard,Lamar & Milam,West Gray & Baldwin,10,0,0,N,1.5,1.4,60,2014-12-01,2014-12-01,17:55:48,18:05:51,N,Y,One Way,Houston B-cycle
3678206,Houston B-cycle,256233,Member,Houston,TX,77006,UNITED STATES,Annual Member,201,Standard,Lamar & Milam,Westheimer & Waugh,21,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,17:59:59,18:20:07,N,Y,One Way,Houston B-cycle
3678237,Houston B-cycle,586358,Member,Houston,TX,77002,UNITED STATES,Annual Member,893,Standard,Dallas & Smith,West Gray & Baldwin,6,0,0,N,.9,.9,36,2014-12-01,2014-12-01,18:08:23,18:14:42,N,Y,One Way,Houston B-cycle
3678280,Houston B-cycle,612723,Member,Houston,TX,77006,UNITED STATES,Annual Member,210,Standard,Dallas & Smith,Milam & Webster,10,0,0,N,1.5,1.4,60,2014-12-01,2014-12-01,18:18:10,18:28:16,N,Y,One Way,Houston B-cycle
3678449,Houston B-cycle,123418,Member,Houston,TX,77064,UNITED STATES,Annual Member,124,Standard,Main & Dallas,Lamar & Milam,767,55,0,Y,8.3,7.8,330,2014-12-01,2014-12-02,19:30:24,08:17:03,Y,Y,One Way,Houston B-cycle
3678509,Houston B-cycle,596717,Subscriber,,,77007,UNITED STATES,24 Hour Kiosk,798,Standard,McKinney & Caroline,Spotts Park,23,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,20:10:19,20:33:09,N,Y,One Way,Houston B-cycle
3678545,Houston B-cycle,623849,Subscriber,,,77008,UNITED STATES,24 Hour Kiosk,533,Standard,Sabine Bridge ,Sabine Bridge ,75,0,2,N,2.7,2.6,108,2014-12-01,2014-12-01,21:06:37,22:21:02,Y,Y,Round Trip,Houston B-cycle
3678546,Houston B-cycle,623850,Subscriber,,,77024,UNITED STATES,24 Hour Kiosk,884,Standard,Sabine Bridge ,Sabine Bridge ,73,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,21:08:30,22:21:04,Y,Y,Round Trip,Houston B-cycle
3678548,Houston B-cycle,623849,Subscriber,,,77008,UNITED STATES,24 Hour Kiosk,991,Standard,Sabine Bridge ,Sabine Bridge ,72,0,2,N,2.7,2.6,108,2014-12-01,2014-12-01,21:09:00,22:21:07,Y,Y,Round Trip,Houston B-cycle
3678550,Houston B-cycle,623851,Subscriber,,,10021,UNITED STATES,24 Hour Kiosk,089,Standard,Westheimer & Waugh,McKinney & Caroline,20,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,21:19:09,21:39:18,N,Y,One Way,Houston B-cycle
3678555,Houston B-cycle,623854,Subscriber,,,77037,UNITED STATES,24 Hour Kiosk,240,Standard,Spotts Park,Spotts Park,3,0,0,N,.5,.4,18,2014-12-01,2014-12-01,21:28:55,21:31:40,N,Y,Round Trip,Houston B-cycle
3678558,Houston B-cycle,623854,Subscriber,,,77037,UNITED STATES,24 Hour Kiosk,105,Standard,Spotts Park,Spotts Park,40,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,21:30:09,22:10:09,Y,Y,Round Trip,Houston B-cycle
3678560,Houston B-cycle,623854,Subscriber,,,77037,UNITED STATES,24 Hour Kiosk,277 G,Standard,Spotts Park,Spotts Park,37,0,0,N,2.7,2.6,108,2014-12-01,2014-12-01,21:32:05,22:09:18,Y,Y,Round Trip,Houston B-cycle
3678721,Houston B-cycle,208675,Member,Katy,TX,77494,UNITED STATES,Annual Member,876,Standard,Smith & Capitol,La Branch & Lamar,5,0,0,N,.8,.7,30,2014-12-02,2014-12-02,06:01:28,06:06:54,N,Y,One Way,Houston B-cycle
3678740,Houston B-cycle,362789,Member,Houston,TX,77010,UNITED STATES,Annual Member,861,Standard,Milam & Webster,La Branch & Lamar,10,0,0,N,1.5,1.4,60,2014-12-02,2014-12-02,06:34:23,06:44:20,N,Y,One Way,Houston B-cycle
3678751,Houston B-cycle,540882,Member,Houston,TX,77010,UNITED STATES,Annual Member,861,Standard,La Branch & Lamar,Lamar & Milam,87,55,0,Y,8.3,7.8,330,2014-12-02,2014-12-02,06:49:43,08:16:50,Y,Y,One Way,Houston B-cycle
3678752,Houston B-cycle,607925,Member,Houston,TX,77007,UNITED STATES,Annual Member,922,Standard,Spotts Park,City Hall,16,0,0,N,2.4,2.3,96,2014-12-02,2014-12-02,06:50:19,07:06:27,N,Y,One Way,Houston B-cycle
3678770,Houston B-cycle,602126,Member,Spring,TX,77388,UNITED STATES,Annual Member,265,Standard,Market Square,Dallas & Smith,11,0,0,N,1.7,1.6,66,2014-12-02,2014-12-02,07:00:30,07:11:03,N,Y,One Way,Houston B-cycle
3678826,Houston B-cycle,315485,Member,Houston,TX,77007,UNITED STATES,Annual Member,884,Standard,Sabine Bridge ,Sabine Bridge ,34,0,0,N,2.7,2.6,108,2014-12-02,2014-12-02,07:30:16,08:04:40,Y,Y,Round Trip,Houston B-cycle
3678833,Houston B-cycle,586358,Member,Houston,TX,77002,UNITED STATES,Annual Member,893,Standard,West Gray & Baldwin,Dallas & Smith,7,0,0,N,1.1,1.0,42,2014-12-02,2014-12-02,07:31:48,07:38:11,N,Y,One Way,Houston B-cycle
3678843,Houston B-cycle,424852,Member,Houston,TX,77003,UNITED STATES,Annual Member,225,Standard,Rusk & St. Emanuel ,Main & Dallas,9,0,0,N,1.4,1.3,54,2014-12-02,2014-12-02,07:36:09,07:45:30,N,Y,One Way,Houston B-cycle
3678860,Houston B-cycle,582726,Member,Houston,TX,77002,UNITED STATES,Annual Member,991,Standard,Sabine Bridge ,McKinney & Caroline,6,0,0,N,.9,.9,36,2014-12-02,2014-12-02,07:43:15,07:49:44,N,Y,One Way,Houston B-cycle
3678878,Houston B-cycle,360100,Member,Houston,TX,77002,UNITED STATES,Annual Member,213,Standard,West Gray & Baldwin,West Gray & Baldwin,1,0,0,N,.2,.1,6,2014-12-02,2014-12-02,07:49:16,07:50:05,N,Y,Round Trip,Houston B-cycle
3678881,Houston B-cycle,360100,Member,Houston,TX,77002,UNITED STATES,Annual Member,073,Standard,West Gray & Baldwin,Dallas & Smith,10,0,0,N,1.5,1.4,60,2014-12-02,2014-12-02,07:50:32,08:00:32,N,Y,One Way,Houston B-cycle
3678889,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,295,Standard,West Gray & Baldwin,Rusk & St. Emanuel ,64,0,0,N,2.7,2.6,108,2014-12-02,2014-12-02,07:55:01,08:59:30,Y,Y,One Way,Houston B-cycle
3678893,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,931,Standard,West Gray & Baldwin,Lamar & Milam,23,0,0,N,2.7,2.6,108,2014-12-02,2014-12-02,07:56:41,08:19:04,N,Y,One Way,Houston B-cycle
3678896,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,881,Standard,West Gray & Baldwin,West Gray & Baldwin,1,0,0,N,.2,.1,6,2014-12-02,2014-12-02,07:57:55,07:58:00,N,Y,Round Trip,Houston B-cycle
3678929,Houston B-cycle,460092,Subscriber,,,77053,UNITED STATES,24 Hour Kiosk,832,Standard,Rusk & St. Emanuel ,McKinney & Caroline,7,0,0,N,1.1,1.0,42,2014-12-02,2014-12-02,08:05:32,08:12:07,N,Y,One Way,Houston B-cycle
3678962,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,124,Standard,Lamar & Milam,Lamar & Milam,1,0,0,N,.2,.1,6,2014-12-02,2014-12-02,08:17:48,08:18:09,N,Y,Round Trip,Houston B-cycle
3678964,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,869,Standard,Lamar & Milam,Lamar & Milam,0,0,0,N,.0,.0,0,2014-12-02,2014-12-02,08:18:11,08:18:32,N,Y,Round Trip,Houston B-cycle
3678982,Houston B-cycle,618282,Maintenance,,,,UNITED STATES,,535,Standard,Lamar & Milam,Spotts Park,3015,0,0,N,2.7,2.6,108,2014-12-02,2014-12-04,08:22:48,10:37:12,Y,Y,One Way,Houston B-cycle
